species,n_reg,cx,cy,elongacion,max_dist_m,clase_id,clase_lbl,radio_km,radio_m,flag_elongada
Aetanthus andreanus,11,710365.9234235043,9532906.669499082,2.4962994618518843,85787.39569666705,4,<= 100 km,100,100000,FALSE
Aetanthus coriaceus,11,703315.4162124742,9544513.640442505,3.958057640505927,36583.117081278964,4,<= 100 km,100,100000,FALSE
Aetanthus nodosus,14,720452.1203144366,9552425.849031936,1.0603751750177488,83014.5380083756,4,<= 100 km,100,100000,FALSE
Aetheolaena otophorus,5,689902.8527607666,9500360.775052289,1.8735605259688861,42849.8189184202,4,<= 100 km,100,100000,FALSE
Ageratina cumbensis,5,700700.7373560171,9529593.074530182,2.5655135572028613,60321.60274863156,4,<= 100 km,100,100000,FALSE
Ageratina cutervensis,11,700751.5410582583,9520893.15266746,2.5488624232593944,52590.507720740796,4,<= 100 km,100,100000,FALSE
Ageratina exsertovenosa,7,704866.7007345691,9521893.074837172,5.396313102927515,41111.50418069022,4,<= 100 km,100,100000,TRUE
Ageratina fastigiata,5,700428.7840524019,9523014.453311168,3.3144022022828112,44122.009039231525,4,<= 100 km,100,100000,FALSE
Ageratum conyzoides,29,711122.1785976276,9547153.998258548,2.0363531313201997,101434.4089878943,4,<= 100 km,100,100000,FALSE
Aglaeactis cupripennis,25,701058.2931619694,9523868.280990347,1.7927559653692764,99517.39122158043,4,<= 100 km,100,100000,FALSE
Aglaiocercus kingii,218,723259.6976038042,9524202.202847222,1.4657004563869533,99914.58495653888,4,<= 100 km,100,100000,FALSE
Agriornis montanus,13,707810.7324710469,9553942.605789248,2.508811614299823,68807.45966962971,4,<= 100 km,100,100000,FALSE
Agrostis perennans,38,707145.2225914395,9536210.36282579,5.203125337482048,76006.00240705007,4,<= 100 km,100,100000,TRUE
Agrostis tolucensis,9,706214.7051354011,9537866.435381738,3.107989137109282,74546.12804588693,4,<= 100 km,100,100000,FALSE
Agylla NA,23,719690.8501756961,9552218.362194518,1.281228128499638,11402.618979611389,4,<= 100 km,100,100000,FALSE
Aiouea dubia,14,708658.5750522984,9545604.725462513,1.2704701183851614,42801.15729635474,4,<= 100 km,100,100000,FALSE
Aiouea montana,9,734224.5837312646,9534782.754760675,1.720183035376823,86581.41609795875,4,<= 100 km,100,100000,FALSE
Aiouea triplinerve,16,734679.7349067831,9507900.435365759,2.018393868283647,77819.40694202944,4,<= 100 km,100,100000,FALSE
Aiphanes verrucosa,10,710659.2859021073,9543620.239877945,4.468415415026098,41258.04123361627,4,<= 100 km,100,100000,TRUE
Akodon aerosus,10,742490.1147374855,9555432.198139738,1.2828910108160803,64614.49041191903,4,<= 100 km,100,100000,FALSE
Akodon mollis,6,700884.8056573428,9541265.25140594,3.1975116971642015,73781.76125573694,4,<= 100 km,100,100000,FALSE
Alansmia cultrata,5,734454.6618759589,9536164.32447675,1.1899858748890826,43014.35644711525,4,<= 100 km,100,100000,FALSE
Alansmia laxa,6,704796.4737739596,9551529.586293403,4.410179326875126,10178.426389731681,4,<= 100 km,100,100000,TRUE
Alansmia senilis,10,706075.4463883778,9533569.010873556,1.9805629912730547,30761.221065285252,4,<= 100 km,100,100000,FALSE
Albizia niopoides,6,719035.2411350496,9448091.980213515,8.768197720057508,13660.03201986192,4,<= 100 km,100,100000,TRUE
Alchisme bos,6,699769.4500976154,9553460.660799112,9.203685055708483,3023.9074764246575,4,<= 100 km,100,100000,TRUE
Alchisme grossa,6,700557.6861883342,9549323.718751546,5.824974334554635,21625.47169275963,4,<= 100 km,100,100000,TRUE
Alchornea coelophylla,5,749654.1153058043,9517155.442082258,1.8390711512648101,46601.84092300556,4,<= 100 km,100,100000,FALSE
Alchornea glandulosa,55,748972.1256577146,9554627.21163451,1.6238957931166516,79438.89234320492,4,<= 100 km,100,100000,FALSE
