species,n_reg,cx,cy,elongacion,max_dist_m,clase_id,clase_lbl,radio_km,radio_m,flag_elongada
Goeppertia altissima,5,762660.2935891607,9548306.601080814,7.1589559077248035,70658.8157317021,4,<= 100 km,100,100000,TRUE
Guzmania foetida,5,760981.3567202596,9524704.44936208,5.456954588377809,5137.068837837983,4,<= 100 km,100,100000,TRUE
Hamelia macrantha,5,757310.2828923528,9528974.97053353,110.26964396843181,6159.30185325861,4,<= 100 km,100,100000,TRUE
Heisteria megalophylla,5,760240.6560109103,9536095.226731554,35.939510597628896,39866.1166782571,4,<= 100 km,100,100000,TRUE
Humiriastrum diguense,5,761554.5197920359,9529775.749509605,36.99908293973065,10520.570387472231,4,<= 100 km,100,100000,TRUE
Hyperbaena domingensis,5,713764.0714904133,9568681.968955817,11.446132780216972,34396.607259622804,4,<= 100 km,100,100000,TRUE
Inga lallensis,5,776329.6970913492,9597096.904253608,4.004609503966453,46715.19687631784,4,<= 100 km,100,100000,TRUE
Inga macrophylla,5,767113.1423557155,9578113.274674386,5.51047058385059,56169.36018939033,4,<= 100 km,100,100000,TRUE
Inga ornata,5,718495.9119862663,9502090.296327574,10.413223976789041,108334.57627872532,4,<= 100 km,100,100000,TRUE
Krapfia gusmanii,5,709452.3829803892,9514966.52113785,4.836540476228391,1576.3523889706487,4,<= 100 km,100,100000,TRUE
Lellingeria simacensis,5,710014.1001757624,9539853.962084869,6.853703045144546,30278.599954285015,4,<= 100 km,100,100000,TRUE
Lepanthes biloba,5,703900.2896490886,9537638.872757968,5.745122523138275,21019.281816938324,4,<= 100 km,100,100000,TRUE
Lepanthes contingens,5,706401.2676835731,9521560.761303727,21.52315478314707,38294.61873639654,4,<= 100 km,100,100000,TRUE
Lepanthes dalessandroi,5,710714.7134347529,9529664.098538855,4.15762666281796,32566.88998576225,4,<= 100 km,100,100000,TRUE
Lepanthes fusiformis,5,705178.6060188512,9507653.167422222,4.486644145304884,11012.061453304286,4,<= 100 km,100,100000,TRUE
Lepanthes ictalurus,5,705501.5365514333,9529736.00270634,26.936174938520512,30144.165893492784,4,<= 100 km,100,100000,TRUE
Leucaena leucocephala,5,703907.4916639305,9524232.763971373,6.537328481698533,50519.1071696193,4,<= 100 km,100,100000,TRUE
Lindsaea taeniata,5,759001.4758425492,9524698.414322568,70.98478224854134,3305.4179790307467,4,<= 100 km,100,100000,TRUE
Lymanbensonia brevispina,5,703959.8542689926,9539121.094018633,4.2194376499769675,4016.3438180441995,4,<= 100 km,100,100000,TRUE
Lysimachia arvensis,5,700257.0854257433,9553769.925887419,5.669463428720895,14913.521134764611,4,<= 100 km,100,100000,TRUE
Macromitrium podocarpi,5,712046.3665445026,9551653.22898456,9.518548577272794,12224.79097978375,4,<= 100 km,100,100000,TRUE
Maxillaria cordyline,5,698847.8819157324,9567122.767121028,4.480714088382524,147.70401567215828,4,<= 100 km,100,100000,TRUE
Maxillaria pastensis,5,710972.9201332832,9552837.313256508,6.863761765986824,42156.28451720149,4,<= 100 km,100,100000,TRUE
Medicago lupulina,5,699011.4424730405,9546806.351616433,10.9632008152153,31655.52668437113,4,<= 100 km,100,100000,TRUE
Meteorium deppei,5,765921.7830882539,9582281.775419291,5.658568166181692,37967.65409287771,4,<= 100 km,100,100000,TRUE
Miconia bracteolata,5,711299.7609102168,9551706.872468285,6.687086850632615,64424.260147760615,4,<= 100 km,100,100000,TRUE
Miconia splendens,5,720674.8478514506,9538338.420268312,4.294143393851603,45709.109855249706,4,<= 100 km,100,100000,TRUE
Mikania granulata,5,704988.1230162301,9535163.60136944,9.154120357420535,20037.314846918518,4,<= 100 km,100,100000,TRUE
Monnina cuspidata,5,709425.0743948277,9541792.629180636,4.737551215397813,30150.453736510764,4,<= 100 km,100,100000,TRUE
Morella parvifolia,5,697245.4225405653,9562008.823572243,4.982000675700413,49937.12639851346,4,<= 100 km,100,100000,TRUE
Mucura globulifera,5,711623.8312154775,9549875.092874024,6.26065974881499,43409.16021018538,4,<= 100 km,100,100000,TRUE
Munnozia campii,5,705477.0843625411,9543985.737655643,7.944824416282086,28943.203099968516,4,<= 100 km,100,100000,TRUE
Myrcia microphylla,5,713042.9343936873,9560972.454256233,5.1096867224126346,3951.50372097059,4,<= 100 km,100,100000,TRUE
Myrcia multiflora,5,715044.9473232577,9528789.277440822,6.137078109730351,63315.11649764256,4,<= 100 km,100,100000,TRUE
Neda boliviana,5,699110.2655139421,9556427.606631117,4.3607192385992155,10798.300619293992,4,<= 100 km,100,100000,TRUE
Nerium oleander,5,699411.0499678623,9557864.767468872,4.131325923543743,4902.372290405825,4,<= 100 km,100,100000,TRUE
Ocotea aligra,5,719096.0387762574,9527939.61994096,7.114242712323738,50116.13326945463,4,<= 100 km,100,100000,TRUE
Ocotea insularis,5,729837.3477973152,9523118.132892536,9.392763818196869,33847.69637223808,4,<= 100 km,100,100000,TRUE
Oecetis bidigitata,5,726126.7816166927,9546000.226970002,5.470813704960096,1395.3883120664468,4,<= 100 km,100,100000,TRUE
Orthoclada laxa,5,761659.9759295104,9543834.867866406,6.138606145785286,62187.00921742774,4,<= 100 km,100,100000,TRUE
Paepalanthus meridensis,5,709404.1052223343,9530720.32326728,4.756571040997098,31035.395550088877,4,<= 100 km,100,100000,TRUE
Palicourea andaluciana,5,709414.2230397904,9531841.45642072,9.090033432710625,31496.60947645478,4,<= 100 km,100,100000,TRUE
Palicourea conferta,5,764260.9848059327,9550575.339788646,9.401149906794435,64390.59237589768,4,<= 100 km,100,100000,TRUE
Palicourea subfusca,5,761290.0315262282,9519610.277181694,43.45215610553624,20464.01678297108,4,<= 100 km,100,100000,TRUE
Panopsis roldosii,5,710753.3845227773,9560912.128690243,12.626498688353276,7571.302947759821,4,<= 100 km,100,100000,TRUE
Paragonia NA,5,725135.3690162718,9544919.251677265,4.21941698524804,1076.4430690955996,4,<= 100 km,100,100000,TRUE
Parajubaea cocoides,5,698745.6576237011,9556794.818084974,5.131293930648541,9308.212095114866,4,<= 100 km,100,100000,TRUE
Pentacalia hitchcockii,5,707524.0820359482,9528923.742733642,5.572999991811165,32352.933399328143,4,<= 100 km,100,100000,TRUE
Peperomia pseudorhynchophoros,5,759924.7817640515,9530710.677843211,19.554146029029774,1469.6958256010687,4,<= 100 km,100,100000,TRUE
Peperomia quaesita,5,710544.0538526389,9560302.417993626,4.046341446136387,4236.898534759293,4,<= 100 km,100,100000,TRUE
Peperomia retusa,5,705762.8726249618,9545512.651266718,5.4068992307205335,41324.22046549423,4,<= 100 km,100,100000,TRUE
Peperomia tropeoloides,5,706845.7888890266,9531847.195067257,4.982370426003738,16933.189530565673,4,<= 100 km,100,100000,TRUE
Pharus lappulaceus,5,727540.9155936029,9531861.492864858,359.5285279001994,66445.45775750604,4,<= 100 km,100,100000,TRUE
Phaseolus lunatus,5,700695.287438344,9546727.954285331,6.565777597258107,27926.184482274155,4,<= 100 km,100,100000,TRUE
Phlegmariurus subulata,5,706506.2932737101,9544750.912626885,9.137816578953151,36886.639551621585,4,<= 100 km,100,100000,TRUE
